merchant_id,creation_date,name,street,state,city,country,contact_number
MERCHANT00090,2020-01-21 20:17:28,Trulia,708 New Inlet side,Vermont,Kansas,San Marino,119-389-7460
MERCHANT00091,2020-01-22 07:20:35,BetterLesson,543 West Parkway view,Nebraska,Orlando,"Korea, Republic of",1-988-857-5340
MERCHANT00092,2020-01-22 10:27:39,"Govzilla, Inc.",4236 Heights ton,Delaware,Jacksonville,Russian Federation,1-342-814-9030
MERCHANT00093,2020-01-22 12:31:14,LegiStorm,362 South Valley town,Nebraska,Garland,Albania,734-066-4247
MERCHANT00094,2020-01-22 12:47:48,IVES Group Inc,9723 Lake Locks view,Washington,El Paso,Bolivia (Plurinational State of),430-161-0921
MERCHANT00095,2020-01-22 13:12:31,MedWatcher,6322 Fork mouth,Nebraska,Louisville/Jefferson,Fiji,672-259-3617
MERCHANT00096,2020-01-22 15:48:52,Maponics,62218 Roads stad,Alabama,Stockton,French Polynesia,951-616-6599
MERCHANT00097,2020-01-22 18:10:27,Archimedes Inc.,2579 North Village shire,New Mexico,Kansas,Ecuador,339-086-6532
MERCHANT00098,2020-01-22 21:52:10,Navico,91113 Port Viaduct stad,Delaware,Jersey,Slovenia,793-427-7042
MERCHANT00099,2020-01-23 02:48:08,Cambridge Semantics,243 Forks bury,Georgia,St. Paul,Samoa,018-338-1960
MERCHANT00100,2020-01-23 04:02:54,Alltuition,108 Terrace berg,Rhode Island,Las Vegas,Lithuania,757-149-6995
MERCHANT00101,2020-01-23 05:53:28,BaleFire Global,789 East Rest ville,West Virginia,Mesa,Gabon,1-562-535-1179
MERCHANT00102,2020-01-23 07:09:08,EMC,8173 Port Crossing view,Washington,Winston-Salem,Barbados,1-190-952-7217
MERCHANT00103,2020-01-23 15:07:02,SigFig,69722 Lakes fort,Virginia,Jersey,Chad,600-125-2977
MERCHANT00104,2020-01-24 04:43:12,National Van Lines,482 Falls haven,Arizona,San Francisco,Guadeloupe,385-680-3413
MERCHANT00105,2020-01-24 12:33:21,Apextech LLC,8204 New Fords side,Minnesota,New York City,Turks and Caicos Islands,515-680-6042
MERCHANT00106,2020-01-24 20:11:02,SmartAsset,4265 Crossing berg,Idaho,Phoenix,Belize,770-895-3390
MERCHANT00107,2020-01-25 00:20:31,"Morningstar, Inc.",30895 New Union mouth,Massachusetts,El Paso,Sudan,1-691-333-4003
MERCHANT00108,2020-01-25 08:39:27,Trintech,7192 Stravenue mouth,Wisconsin,Arlington,Serbia,1-447-323-1022
MERCHANT00109,2020-01-25 12:57:50,Business and Legal Resources,873 Alley land,Connecticut,San Jose,Pakistan,380-218-3546
MERCHANT00110,2020-01-25 22:29:57,NuCivic,52660 Lake Brook ton,Ohio,Philadelphia,Armenia,371-579-2475
MERCHANT00111,2020-01-26 23:36:54,Recargo,4755 Pines port,Kansas,St. Louis,Syrian Arab Republic,776-706-0597
MERCHANT00112,2020-01-27 18:00:59,Revelstone,49123 East Brooks town,Texas,Glendale,Slovakia,058-093-0137
MERCHANT00113,2020-01-28 00:35:16,WattzOn,932 Bridge chester,New Mexico,Henderson,Faroe Islands,1-625-574-8453
MERCHANT00114,2020-01-28 08:50:11,"Calcbench, Inc.",88124 East Isle land,Texas,Memphis,Norway,759-414-6121
MERCHANT00115,2020-01-28 11:19:06,Next Step Living,434 South Neck furt,Delaware,San Bernardino,Uganda,1-995-160-2356
MERCHANT00116,2020-01-28 19:25:17,"FirstPoint, Inc.",3140 South Highway haven,Washington,Tampa,Tuvalu,489-910-5014
MERCHANT00117,2020-01-28 20:15:53,TrialX,844 North Ferry view,Colorado,Norfolk,Sweden,1-223-823-6177
MERCHANT00118,2020-01-29 08:25:39,Dun & Bradstreet,79259 North Meadows fort,Colorado,San Francisco,Gibraltar,546-642-1744
MERCHANT00119,2020-01-29 09:29:30,Innovest Systems,7845 Lake Village view,New Hampshire,Fort Worth,Kuwait,433-180-0849
MERCHANT00120,2020-01-29 16:02:26,Spokeo,1058 Drive land,New Hampshire,Phoenix,Lebanon,474-509-6856
MERCHANT00121,2020-01-29 18:26:35,Informatica,697 Fort land,Nevada,Henderson,Malta,872-080-5323
MERCHANT00122,2020-01-29 23:02:52,Credit Karma,86473 Shores land,West Virginia,Oakland,Singapore,560-481-3235
MERCHANT00123,2020-01-30 00:09:09,BuildFax,11931 East Trafficway ton,Florida,Aurora,Brazil,670-166-4983
MERCHANT00124,2020-01-30 03:26:07,McGraw Hill Financial,786 Lock stad,Alaska,Scottsdale,Mongolia,989-025-1022
MERCHANT00125,2020-01-30 04:37:30,Equal Pay for Women,90274 Summit stad,New Jersey,Chandler,Sierra Leone,597-628-8900
MERCHANT00126,2020-01-31 11:59:10,Connotate,159 Court stad,New York,Omaha,Ghana,719-558-9664
MERCHANT00127,2020-01-31 16:02:45,Cloudspyre,5363 West Mews fort,Illinois,Corpus Christi,Nicaragua,507-680-2218
MERCHANT00128,2020-01-31 16:50:57,Construction Monitor LLC,7627 East Dam chester,Washington,Madison,Mali,867-571-8925
MERCHANT00129,2020-01-31 18:40:08,Fitch,4967 Port Drive shire,Arizona,San Jose,Fiji,865-643-0381
MERCHANT00130,2020-02-01 06:17:51,Wheaton World Wide Moving,7859 West Grove side,Colorado,San Jose,Romania,868-410-1831
MERCHANT00131,2020-02-02 06:02:00,PricewaterhouseCoopers (PWC),3082 Lake Lights berg,Tennessee,Honolulu,Kenya,1-975-013-8401
MERCHANT00132,2020-02-02 16:17:24,CostQuest,947 Ridges berg,Louisiana,New York City,Sao Tome and Principe,897-678-8586
MERCHANT00133,2020-02-03 05:13:05,Code for America,13227 West Cliff haven,Connecticut,Tulsa,Albania,894-254-6076
MERCHANT00134,2020-02-03 10:32:26,ASC Partners,6092 Isle mouth,Nebraska,Boise,Grenada,615-430-7002
MERCHANT00135,2020-02-03 12:53:44,Aquicore,390 South Well furt,Nebraska,Greensboro,China,668-907-9518
MERCHANT00136,2020-02-03 16:06:09,Politify,472 North Crescent furt,Kentucky,Cincinnati,Bosnia and Herzegovina,880-859-7117
MERCHANT00137,2020-02-03 19:06:13,IMS Health,3627 West Stravenue haven,Minnesota,Memphis,Kuwait,505-212-5960
MERCHANT00138,2020-02-03 20:15:33,CoolClimate,4136 West Park mouth,Maryland,Louisville/Jefferson,El Salvador,535-491-5725
MERCHANT00139,2020-02-04 03:33:21,Walk Score,235 Mill haven,Illinois,Kansas,Turkey,157-663-4503
MERCHANT00140,2020-02-04 04:59:48,Zebu Compliance Solutions,89541 Valleys stad,Maine,Newark,Rwanda,1-883-203-6644
MERCHANT00141,2020-02-04 10:27:28,Geolytics,77543 Ports ville,Idaho,Norfolk,French Guiana,458-935-8433
MERCHANT00142,2020-02-05 03:55:58,Dun & Bradstreet,443 Manor port,Hawaii,Hialeah,Morocco,514-316-1063
MERCHANT00143,2020-02-05 04:09:26,RAND Corporation,286 Gardens port,Nevada,Norfolk,Gambia,324-028-9316
MERCHANT00144,2020-02-06 07:08:04,Government Transaction Services,351 Brook burgh,Ohio,Laredo,Saint Barthélemy,1-307-315-8602
MERCHANT00145,2020-02-06 07:09:52,Geofeedia,339 North Dam mouth,Tennessee,Denver,Kiribati,273-048-6648
MERCHANT00146,2020-02-06 07:10:10,Berkshire Hathaway,982 Springs bury,Nevada,St. Louis,Costa Rica,1-955-463-3908
MERCHANT00147,2020-02-06 18:25:10,Open Data Nation,727 South View land,Utah,Wichita,Dominican Republic,118-066-3348
MERCHANT00148,2020-02-06 18:47:33,Urban Airship,192 West Drives haven,Washington,Louisville/Jefferson,Monaco,1-717-977-6125
MERCHANT00149,2020-02-06 23:04:29,"Loqate, Inc.",103 Union town,West Virginia,St. Petersburg,Panama,1-926-996-0722
MERCHANT00150,2020-02-07 07:35:37,IBM,7061 Port Plain haven,Idaho,Minneapolis,San Marino,454-656-7573
MERCHANT00151,2020-02-07 09:34:13,MedWatcher,400 East View town,Montana,Austin,Niue,1-915-550-5494
MERCHANT00152,2020-02-07 13:34:47,"Fuzion Apps, Inc.",80077 West Mountains bury,Alabama,Orlando,Bahrain,921-751-3987
MERCHANT00153,2020-02-08 01:57:35,Navico,758 Forks side,New York,St. Paul,Ethiopia,1-457-285-7197
MERCHANT00154,2020-02-08 11:47:59,iTriage,3786 Burgs furt,Ohio,Las Vegas,Bosnia and Herzegovina,728-108-0408
MERCHANT00155,2020-02-08 11:50:14,Robinson + Yu,42602 East Valley haven,Missouri,Fresno,Turkey,508-135-6333
MERCHANT00156,2020-02-08 15:47:14,Panjiva,654 Orchard furt,Colorado,Omaha,Pitcairn,969-017-9008
MERCHANT00157,2020-02-08 21:56:11,AllState Insurance Group,1108 Brooks town,Arkansas,Irvine,Panama,941-071-8257
MERCHANT00158,2020-02-08 23:46:53,Enervee Corporation,63485 Port Cliffs town,Delaware,Minneapolis,Timor-Leste,444-492-5255
MERCHANT00159,2020-02-09 00:05:10,McGraw Hill Financial,194 North Valley ton,Michigan,Stockton,Cambodia,888-207-4256
MERCHANT00160,2020-02-09 00:37:28,Asset4,7340 North Flats berg,Maryland,Fort Wayne,Chile,741-468-2235
MERCHANT00161,2020-02-09 00:54:37,CONNECT-DOT LLC.,6134 Park ton,South Dakota,Fresno,Nauru,255-646-8078
MERCHANT00162,2020-02-09 03:01:44,Verdafero,486 Branch fort,Idaho,Santa Ana,Panama,1-197-384-0916
MERCHANT00163,2020-02-09 06:09:36,WaterSmart Software,653 South Centers borough,South Carolina,Glendale,Guatemala,1-631-191-9979
MERCHANT00164,2020-02-09 15:35:45,Collective IP,609 New Islands ton,New Mexico,Louisville/Jefferson,Liechtenstein,210-264-2200
MERCHANT00165,2020-02-10 06:04:15,Housefax,7459 Brook view,Kansas,San Jose,North Macedonia,104-368-7084
MERCHANT00166,2020-02-11 10:52:33,Civinomics,336 West Coves chester,Maine,Wichita,Norfolk Island,963-791-7354
MERCHANT00167,2020-02-11 18:41:02,Trulia,753 East Fall berg,Idaho,St. Louis,Mauritius,1-358-583-0842
MERCHANT00168,2020-02-11 18:42:39,Thomson Reuters,294 North Highway berg,New Jersey,Detroit,Malawi,931-740-2981
MERCHANT00169,2020-02-12 16:48:05,Buildingeye,3794 West Forge land,Alabama,Chula Vista,Slovenia,636-989-6027
MERCHANT00170,2020-02-12 18:19:51,Appallicious,848 Road side,New Hampshire,Atlanta,Ecuador,129-309-7247
MERCHANT00171,2020-02-12 21:13:27,Compendia Bioscience Life Technologies,646 West Ridge side,Maine,Santa Ana,Cambodia,949-235-6926
MERCHANT00172,2020-02-13 09:24:31,LoseIt.com,723 Parkways ville,Iowa,Anaheim,Iraq,1-344-638-5481
MERCHANT00173,2020-02-13 14:16:08,Clean Power Finance,240 Point mouth,Missouri,Wichita,Poland,802-525-9429
MERCHANT00174,2020-02-13 15:37:17,Spokeo,11336 Brooks fort,Oregon,Boston,Pitcairn,762-019-1181
MERCHANT00175,2020-02-13 15:46:20,Chubb,85108 Parkways side,New York,Scottsdale,Tajikistan,746-419-0534
MERCHANT00176,2020-02-13 22:17:41,"Graematter, Inc.",499 Lake View borough,Alaska,San Jose,Antarctica,828-313-1429
MERCHANT00177,2020-02-14 03:11:02,Xcential,5134 Run land,Ohio,Portland,Venezuela (Bolivarian Republic of),698-275-4298
MERCHANT00178,2020-02-14 11:25:22,"Loqate, Inc.",48952 New Knolls town,Alaska,Aurora,Western Sahara,352-815-6214
MERCHANT00179,2020-02-14 17:57:34,Consumer Reports,1676 New Mountain mouth,Ohio,Chicago,Wallis and Futuna,749-996-6184
MERCHANT00180,2020-02-15 01:50:29,USAA Group,615 Cove bury,Mississippi,Norfolk,Virgin Islands (U.S.),1-552-855-2863
MERCHANT00181,2020-02-15 07:06:22,PlanetEcosystems,98070 Meadow burgh,Mississippi,Milwaukee,New Zealand,342-524-9623
MERCHANT00182,2020-02-15 07:42:24,Capital Cube,76697 Row furt,Delaware,Baton Rouge,Liberia,925-028-9280
MERCHANT00183,2020-02-15 09:00:41,The Schork Report,7976 East Parkway ville,South Carolina,Santa Ana,Maldives,428-457-1729
MERCHANT00184,2020-02-15 09:52:53,Food+Tech Connect,254 Lake Freeway mouth,Hawaii,Lincoln,Svalbard and Jan Mayen,219-038-2033
MERCHANT00185,2020-02-15 22:53:23,The Advisory Board Company,8641 Port View ville,Ohio,Irvine,Burundi,624-244-5983
MERCHANT00186,2020-02-16 01:37:22,realtor.com,28689 Loaf shire,West Virginia,Norfolk,Côte d'Ivoire,1-237-061-9112
MERCHANT00187,2020-02-16 04:15:03,Barchart,898 Union side,Utah,Plano,Djibouti,533-672-3856
MERCHANT00188,2020-02-16 05:24:38,Wheaton World Wide Moving,699 Lake Rapids chester,Massachusetts,Washington,Bahamas,394-643-5472
MERCHANT00189,2020-02-17 00:37:38,Nautilytics,632 Meadow haven,Wyoming,Memphis,Honduras,648-032-9185
MERCHANT00190,2020-02-17 11:15:20,S&P Capital IQ,51045 Point port,South Carolina,San Antonio,"Taiwan, Province of China",1-532-186-9360
MERCHANT00191,2020-02-17 13:21:35,48 Factoring Inc.,197 Streets land,New Jersey,Philadelphia,Haiti,1-372-812-8618
MERCHANT00192,2020-02-17 22:05:27,Roadify Transit,18225 Keys stad,Virginia,Baton Rouge,Egypt,1-336-432-3554
MERCHANT00193,2020-02-18 00:29:41,Harris Corporation,8743 Turnpike town,Wyoming,Toledo,American Samoa,640-136-9666
MERCHANT00194,2020-02-18 01:58:26,Nautilytics,52535 New Field mouth,Connecticut,Corpus Christi,Brazil,174-848-4438
MERCHANT00195,2020-02-18 05:59:29,Business Monitor International,879 Port Knolls port,Florida,Baton Rouge,Latvia,456-053-9804
MERCHANT00196,2020-02-18 09:04:40,"Docket Alarm, Inc.",336 Lodge haven,New Mexico,Lexington-Fayette,Hungary,564-627-5931
MERCHANT00197,2020-02-18 12:12:58,GuideStar,3274 New Key land,Wyoming,St. Louis,Isle of Man,872-535-8107
MERCHANT00198,2020-02-18 17:10:27,Lucid,35189 Wells view,Delaware,Philadelphia,Western Sahara,203-311-2459
MERCHANT00199,2020-02-18 19:44:30,Environmental Data Resources,50392 West Throughway mouth,Minnesota,Mesa,Mayotte,1-088-971-1011
MERCHANT00200,2020-02-19 09:37:15,Civic Insight,533 New Burgs town,Oregon,Laredo,Mauritania,138-985-8793
MERCHANT00201,2020-02-19 16:13:38,Govini,6926 Lake Corner fort,Oregon,Boise,Northern Mariana Islands,1-361-336-1124
MERCHANT00202,2020-02-20 15:53:14,The Advisory Board Company,8948 Garden berg,California,Jersey,Nigeria,1-184-668-8836
MERCHANT00203,2020-02-20 17:52:36,NuCivic,101 West Extension mouth,Maine,Lexington-Fayette,Uzbekistan,1-058-552-3635
MERCHANT00204,2020-02-21 05:06:57,Geolytics,37435 Lake Stream land,Oregon,Washington,Bermuda,1-550-329-8768
MERCHANT00205,2020-02-21 07:25:15,U.S. News Schools,20886 Drives burgh,Vermont,Baltimore,Bhutan,655-296-7159
MERCHANT00206,2020-02-21 08:32:12,Fidelity Investments,9599 Circles borough,Nevada,Norfolk,United States of America,962-982-9145
MERCHANT00207,2020-02-21 09:05:40,Suddath,772 North Ridge mouth,Iowa,Omaha,Jamaica,362-934-0431
MERCHANT00208,2020-02-21 14:05:33,College Board,238 New Throughway fort,Texas,Baton Rouge,Equatorial Guinea,694-656-5766
MERCHANT00209,2020-02-21 20:48:18,SpaceCurve,72974 Wells shire,Alaska,Houston,Uzbekistan,434-941-4651
MERCHANT00210,2020-02-21 23:54:47,Kimono Labs,1468 Fort shire,Virginia,Milwaukee,Greenland,255-350-4432
MERCHANT00211,2020-02-22 03:13:33,Standard and Poor's,45717 Drive fort,Kentucky,Raleigh,Mauritius,618-939-8132
MERCHANT00212,2020-02-22 06:57:47,Rapid Cycle Solutions,649 Loaf side,New York,Irvine,Mozambique,584-192-0224
MERCHANT00213,2020-02-22 08:02:27,InCadence,5020 Trafficway shire,Rhode Island,Minneapolis,Bouvet Island,1-081-416-2022
MERCHANT00214,2020-02-22 22:35:29,Govini,29512 Circles port,Minnesota,Boise,Greenland,1-433-136-0678
MERCHANT00215,2020-02-23 10:46:03,Avvo,711 Falls view,Texas,Philadelphia,Christmas Island,1-815-002-3034
MERCHANT00216,2020-02-23 17:05:19,Nautilytics,49904 West Rue port,Nebraska,Phoenix,Slovakia,411-674-7146
